No         Date/Time            Browser            Access Path
---------  -------------------  -----------------  ---------------------------------------------------------------------------------------
000000001  2024-11-24 03:31:07  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000002  2024-11-24 03:31:22  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000003  2024-11-24 03:31:34  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000004  2024-11-24 03:31:40  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000005  2024-11-24 03:31:41  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\Dashboard\Home\index 
000000006  2024-11-24 03:34:27  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\Dashboard\Home\index 
000000007  2024-11-24 03:34:51  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\Dashboard\Home\index 
000000008  2024-11-24 03:43:53  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\Dashboard\Home\index 
000000009  2024-11-24 03:43:58  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\SignIn\logout 
000000010  2024-11-24 03:43:58  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000011  2024-11-24 03:59:59  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000012  2024-11-24 05:06:50  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000013  2024-11-24 05:06:51  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\Dashboard\Home\index 
000000014  2024-11-24 05:12:18  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\SignIn\logout 
000000015  2024-11-24 05:12:18  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000016  2024-11-24 05:12:34  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000017  2024-11-24 05:12:35  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\Dashboard\Home\index 
000000018  2024-11-24 05:23:09  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\Dashboard\Pegawai\InputData\index 
000000019  2024-11-24 05:23:29  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\Dashboard\Pegawai\InputData\index 
000000020  2024-11-24 05:27:29  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\Dashboard\Pegawai\RekapAll\index 
000000021  2024-11-24 05:27:33  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\Dashboard\Pegawai\RekapContract\index 
000000022  2024-11-24 05:27:43  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\SignIn\logout 
000000023  2024-11-24 05:27:43  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000024  2024-11-24 06:05:39  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000025  2024-11-24 06:10:01  Google Chrome      C:\xampp\htdocs\hris\application\controllers\SignIn\index 
000000026  2024-11-24 06:10:02  Google Chrome      hari01 : C:\xampp\htdocs\hris\application\controllers\Dashboard\Home\index 
